"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1965-06-03",29950000,"Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes","",1,"1965","Action",4
"1965-10-15",15260000,"The Cincinnati Kid","",7,"1965","Drama",8
"1965-04-07",14873,"Major Dundee","",19,"1965","War",12
"1965-01-01",5275000,"Do Not Disturb","",4,"1965","Comedy",11
"1973-12-17",18344729,"Sleeper","",4,"1973","Comedy",11
"1973-12-25",159616327,"The Sting","The Sting Collection",4,"1973","Comedy",3
"1973-12-26",441306145,"The Exorcist","The Exorcist Collection",7,"1973","Drama",1
"1973-04-19",3600000,"Soylent Green","",14,"1973","Mystery",17
"1973-06-15",8844595,"Battle for the Planet of the Apes","Planet of the Apes Original Collection",1,"1973","Action",16
"1973-04-19",15700000,"High Plains Drifter","",20,"1973","Western",12
"1973-07-05",161777836,"Live and Let Die","James Bond Collection",2,"1973","Adventure",2
"1973-11-08",32056467,"Robin Hood","",3,"1973","Animation",9
"1973-10-17",4.5e+07,"The Way We Were","",7,"1973","Drama",7
"1973-12-13",53267000,"Papillon","",5,"1973","Crime",6
"1973-08-01",1.4e+08,"American Graffiti","American Graffiti Collection",4,"1973","Comedy",4
"1973-12-23",39768000,"Magnum Force","Dirty Harry Collection",1,"1973","Action",8
"1973-12-05",29800000,"Serpico","",5,"1973","Crime",10
"1973-12-20",1.1e+07,"The Golden Voyage of Sinbad","The Sinbad Collection",1,"1973","Action",14.5
"1973-08-15",13200000,"Jesus Christ Superstar","",7,"1973","Drama",13
"1973-08-17",9e+07,"Enter the Dragon","",1,"1973","Action",5
"1973-05-23",1.1e+07,"Pat Garrett & Billy the Kid","",20,"1973","Western",14.5
"1973-10-02",3e+06,"Mean Streets","",7,"1973","Drama",18
"1973-07-20",2e+06,"Dillinger","",1,"1973","Action",19
"1973-08-08",1500000,"Heavy Traffic","",3,"1973","Animation",20
"1979-08-15",89460381,"Apocalypse Now","",7,"1979","Drama",7
"1979-05-25",104931801,"Alien","Alien Collection",12,"1979","Horror",5
"1979-04-25",39946780,"Manhattan","",4,"1979","Comedy",17
"1979-07-27",86432000,"The Amityville Horror","The Amityville Horror Collection",7,"1979","Drama",8
"1979-12-06",1.39e+08,"Star Trek: The Motion Picture","Star Trek",16,"1979","Science Fiction",3
"1979-12-18",106260000,"Kramer vs. Kramer","",7,"1979","Drama",4
"1979-12-14",73961419,"The Jerk","",4,"1979","Comedy",11
"1979-06-15",200182160,"Rocky II","Rocky Collection",7,"1979","Drama",2
"1979-12-20",37823676,"All That Jazz","",7,"1979","Drama",19
"1979-05-31",76657000,"The Muppet Movie","The Muppet Collection",2,"1979","Adventure",9
"1979-06-26",210308099,"Moonraker","James Bond Collection",1,"1979","Action",1
"1979-04-12",1e+08,"Mad Max","Mad Max Collection",2,"1979","Adventure",6
"1979-10-17",37799643,"The Black Stallion","The Black Stallion Collection",2,"1979","Adventure",20
"1979-12-21",61801971,"The Electric Horseman","",7,"1979","Drama",12
"1979-10-04",74865517,"10","",4,"1979","Comedy",10
"1979-03-16",51718367,"The China Syndrome","",17,"1979","Thriller",14
"1979-06-22",4.3e+07,"Escape from Alcatraz","",5,"1979","Crime",16
"1979-06-15",38200000,"The In-Laws","",1,"1979","Action",18
"1979-04-26",43885000,"Love at First Bite","",15,"1979","Romance",15
"1979-01-01",5.4e+07,"Prophecy","",12,"1979","Horror",13
"1967-07-18",50700000,"Bonnie and Clyde","",5,"1967","Crime",5
"1967-12-21",104945305,"The Graduate","",7,"1967","Drama",3
"1967-06-22",16217773,"Cool Hand Luke","",5,"1967","Crime",11
"1967-08-02",27379978,"In the Heat of the Night","",5,"1967","Crime",10
"1967-10-17",205843612,"The Jungle Book","The Jungle Book Collection",8,"1967","Family",1
"1967-12-19",9e+06,"Doctor Dolittle","",2,"1967","Adventure",15
"1967-06-15",45300000,"The Dirty Dozen","The Dirty Dozen Collection",1,"1967","Action",7
"1967-12-11",56666667,"Guess Who's Coming to Dinner","",4,"1967","Comedy",4
"1967-03-21",1.2e+07,"Hombre","",1,"1967","Action",13
"1967-04-13",41744718,"Casino Royale","James Bond Collection",2,"1967","Adventure",8
"1967-01-05",2e+06,"A Countess from Hong Kong","",4,"1967","Comedy",19
"1967-10-26",1.1e+07,"Wait Until Dark","",12,"1967","Horror",14
"1967-12-27",5e+07,"Valley of the Dolls","",13,"1967","Music",6
"1967-12-14",13007551,"In Cold Blood","",5,"1967","Crime",12
"1967-06-12",111584787,"You Only Live Twice","James Bond Collection",1,"1967","Action",2
"1967-08-18",3.6e+07,"The Born Losers","Billy Jack Collection",1,"1967","Action",9
"1967-04-05",1600000,"Double Trouble","",4,"1967","Comedy",20
"1967-08-30",3200000,"Point Blank","",1,"1967","Action",18
"1967-05-27",6e+06,"The War Wagon","",20,"1967","Western",16
"1967-10-31",5200000,"The Comedians","",7,"1967","Drama",17
"1987-08-21",213954274,"Dirty Dancing","Dirty Dancing Collection",7,"1987","Drama",3
"1987-03-06",120207127,"Lethal Weapon","Lethal Weapon Collection",2,"1987","Adventure",6
"1987-06-02",76270454,"The Untouchables","",5,"1987","Crime",10
"1987-12-16",51249404,"Broadcast News","",4,"1987","Comedy",18
"1987-07-17",5.3e+07,"RoboCop","RoboCop Collection",1,"1987","Action",16
"1987-12-18",80640528,"Moonstruck","",4,"1987","Comedy",9
"1987-09-11",320145693,"Fatal Attraction","",15,"1987","Romance",1
"1987-06-05",49998613,"Harry and the Hendersons","",4,"1987","Comedy",20
"1987-12-23",123922370,"Good Morning, Vietnam","",4,"1987","Comedy",5
"1987-07-24",54215416,"La Bamba","",7,"1987","Drama",15
"1987-06-11",98235548,"Predator","Predator Collection",16,"1987","Science Fiction",8
"1987-06-29",191185897,"The Living Daylights","James Bond Collection",1,"1987","Action",4
"1987-05-18",299965036,"Beverly Hills Cop II","Beverly Hills Cop Collection",1,"1987","Action",2
"1987-11-25",50504655,"Eddie Murphy Raw","",4,"1987","Comedy",19
